industry,category,subcategory_1,subcategory_2,name,description,price,cost,taxable,unit_of_measure,task_code,online_booking_enabled
Window & Exterior Cleaning,Custom Services,,,Exterior String Light Removal,"Removal of lights with clips.

Source metadata (preserved from HCP export):
- industry_uuid: ind_50413bdcbb67410da504845ec48af17d
- source_uuid: olit_0e36a6fba91645a6a16b9738f75f0e61",200.00,0.00,FALSE,,,TRUE
Window & Exterior Cleaning,Premium Window Cleaning,,,Interior Only,"We’ll hand-clean the inside of your windows using professional tools and techniques. It’s more than just wiping glass — we remove buildup, smudges, and grime for a clean, streak-free finish.

What we do:
• Hand clean interior window glass with a streak-free, residue-free solution
• Use super-fine steel wool to remove stuck-on grime
• Finish with a professional squeegee for crystal-clear results
• Move furniture or items as needed — if anything is fragile or valuable, we ask that it be moved ahead of time

Why it’s worth it:
• Brightens rooms by letting in more natural light
• Removes fingerprints, smudges, and dust buildup
• Keeps your windows looking well maintained and cared for

What’s not included:
• Hard-water stain removal
• Excessive paint, adhesive, or heavy stuck-on debris (unless quoted separately)
• Track or screen cleaning (available as separate services)

Just so you know:
Pricing depends on window count, accessibility, and layout. Add-ons are available upon request.

Source metadata (preserved from HCP export):
- industry_uuid: ind_50413bdcbb67410da504845ec48af17d
- source_uuid: olit_2ef08e0a44d040959da46888b3973cca",12.00,0.00,FALSE,Per Pane,,TRUE
Window & Exterior Cleaning,Premium Window Cleaning,,,Exterior Only,"We’ll clean the outside of your windows by hand using professional tools and techniques. This removes dust, grime, water spots, and anything else the weather leaves behind — leaving your windows clear and streak-free.

What we do:
• Hand clean exterior window glass with a streak-free, residue-free solution
• Use super-fine steel wool to remove stuck-on grime or buildup
• Finish with a professional squeegee for a clean, even result
• Light rinse beforehand if needed to remove loose dust or cobwebs

Why it’s worth it:
• Instantly improves curb appeal
• Removes layers of dirt and debris that dull the glass
• Keeps your windows looking clean and cared for longer

What’s not included:
• Hard-water stain removal
• Excessive paint, adhesive, or heavy stuck-on debris (unless quoted separately)
• Screen or track cleaning (available as separate services)

Just so you know:
Pricing depends on window count, accessibility, and layout. Add-ons are available upon request.

Source metadata (preserved from HCP export):
- industry_uuid: ind_50413bdcbb67410da504845ec48af17d
- source_uuid: olit_dbfb89c6a73d488cb328c53e0ed08f20",12.00,0.00,FALSE,Per Pane,,TRUE
Window & Exterior Cleaning,Pressure Washing,,,Patio Concrete Cleaning,"We’ll pressure wash your patio to remove dirt, grime, moss, algae, and years of buildup. Whether it’s concrete, pavers, or another hard surface, we’ll get it looking cleaner and safer.

What we do:
• Pressure wash the full patio area
• Apply a cleaning solution to break down organic growth and grime
• Rinse thoroughly to lift and clear buildup
• Focus on shaded or high-traffic areas where dirt and moss collect
• Move outdoor items as needed — if something is fragile or valuable, we ask that it be moved ahead of time

Why it’s worth it:
• Makes your patio look clean and more inviting
• Removes slippery moss and algae
• Helps protect your surface by keeping buildup from setting in

What’s not included:
• Oil stain removal — they typically improve, but won’t fully disappear
• Cleaning of walls, patio furniture, or decorative items not part of the surface

Just so you know:
Priced per square foot, the extent of organic growth and how much chemical is needed.

Source metadata (preserved from HCP export):
- industry_uuid: ind_50413bdcbb67410da504845ec48af17d
- source_uuid: olit_62b6a557ddaa492f8fa51c1e248fb0ae",100.00,0.00,FALSE,,,TRUE
Window & Exterior Cleaning,Roof cleaning,,,Tile Roof Moss Treatment,"We’ll apply a tile-safe moss killer that treats moss, algae, and lichen without scraping or pressure washing. The growth dies and weathers off over time.

What we do:
• Light blow-off of loose roof debris (if accessible)
• Apply moss treatment at the proper strength for tile
• Focus on shaded valleys, north sides, and heavy growth areas
• No scraping or pressure washing of tile
• Flush the gutters of all debris
• Rinse plants to make sure no overspray contaminates them

Why it’s worth it:
• Helps prevent moisture from sitting under moss and causing leaks
• Lowers fire risk by eliminating dry moss over time
• Helps keep gutters from clogging with moss chunks
• Supports insurance requirements to remove visible roof moss

What’s not included:
• Rinse-off/physical removal in the same visit
• Gutter cleaning or repairs
• Roof tile/underlayment repairs

Just so you know:
Priced per square foot of roof area. Moss browns in 1–3 weeks and sheds gradually over several weeks/months. Environmentally compliant application; runoff is managed.

Source metadata (preserved from HCP export):
- industry_uuid: ind_50413bdcbb67410da504845ec48af17d
- source_uuid: olit_c0ae7df4f7e34ff2a4eb887a0f0f7f7a",0.55,0.00,FALSE,ft²,,TRUE
Window & Exterior Cleaning,Solar Panel Maintenance,,,Solar Panel Cleaning,"Dust, pollen, and especially bird droppings can block sunlight and even cause hot spots that damage your panels over time. We’ll safely clean your solar system so it keeps producing at its best.

What we do:
• Rinse panels with purified water for a spot-free finish
• Use solar panel–specific brushes to remove stuck-on debris
• Check for obvious cracks, shading issues, or anything unusual on the surface
• Look underneath for signs of nesting or chewed wiring from birds or pests

Why it’s worth it:
• Improves efficiency by letting more sunlight through
• Removes bird droppings that can etch glass and shorten panel lifespan
• Helps prevent hot spots and costly long-term damage
• Recommended 1–2 times a year, especially near trees or heavy bird activity

What’s not included:
• Bird proofing (available as a separate service)
• Repairs to damaged panels, wiring, or roofing materials

Just so you know:
We don’t use pressure washers or harsh chemicals — only solar-approved tools and methods. Pricing depends on system size, layout, and roof access.

Source metadata (preserved from HCP export):
- industry_uuid: ind_50413bdcbb67410da504845ec48af17d
- source_uuid: olit_f2978cb715ba4308b4217cdc42955c85",12.00,0.00,FALSE,Each,,FALSE
Window & Exterior Cleaning,Pressure Washing,,,Sidewalk Cleaning,"We’ll pressure wash your sidewalk to remove dirt, grime, moss, and buildup that collect over time. A clean sidewalk makes your property look better and safer for anyone passing through.

What we do:
• Pressure wash the full sidewalk area from end to end
• Apply a cleaning solution to help lift dirt and organic buildup
• Rinse thoroughly to remove grime and improve traction
• Focus on high-traffic or shaded areas where moss tends to grow
• Move small items or planters if needed — if anything is fragile or valuable, we ask that it be moved ahead of time

Why it’s worth it:
• Instantly improves curb appeal
• Helps prevent slips by removing moss and grime
• Keeps your entry area looking clean and maintained
• Quick, low-cost improvement for homeowners or property managers

What’s not included:
• Driveway or walkway areas beyond the sidewalk
• Oil stain removal — some improvement is likely, but not guaranteed
• Cleaning of walls, fences, or vertical surfaces

Just so you know:
Pricing depends on sidewalk length, condition, and buildup.

Source metadata (preserved from HCP export):
- industry_uuid: ind_50413bdcbb67410da504845ec48af17d
- source_uuid: olit_8b6adf02ca474426b83dd45fc9870bad",100.00,0.00,FALSE,,,TRUE
Window & Exterior Cleaning,Pressure Washing,,,Driveway Cleaning,"We’ll pressure wash your entire driveway to remove dirt, grime, moss, and buildup. Whether your driveway is small, wide, long, or curved, we’ll get it looking fresh again.

What we do:
• Pressure wash the full driveway from edge to edge
• Apply a cleaning solution to break down dirt and organic buildup
• Rinse thoroughly to lift away surface grime
• Focus on heavy-use areas and common trouble spots
• Move lightweight items as needed — if anything is fragile or valuable, we ask that it be moved ahead of time

Why it’s worth it:
• Makes a huge difference in curb appeal
• Removes slippery moss and algae for better traction
• Helps preserve the life of your driveway by keeping grime from settling in

What’s not included:
• Oil stain removal — they won’t fully come out, but they usually look noticeably better
• Cleaning of sidewalks, garage doors, walls, or any areas not part of the driveway

Just so you know:
Pricing depends on total square footage and surface condition.

Source metadata (preserved from HCP export):
- industry_uuid: ind_50413bdcbb67410da504845ec48af17d
- source_uuid: olit_d9846f5cad4c476db1d0460ef8f9b828",200.00,0.00,FALSE,,,TRUE
Window & Exterior Cleaning,Pressure Washing,,,Concrete Stain Removal,"We’ll treat specific spots on your concrete to reduce or completely remove stains like oil, rust, grease, or other stubborn buildup. This is a focused service meant to improve problem areas — and in many cases, the stains may be fully removed.

What we do:
• Apply targeted stain removers and degreasers based on the type of stain
• Agitate with brushes or tools to help lift it from the surface
• Rinse and re-treat if needed for the best result
• Keep you informed on what to expect depending on the condition and age of the concrete

Why it’s worth it:
• Helps improve the look of your concrete without needing to clean the whole surface
• Makes driveways and walkways look more even and maintained
• Can reduce or remove stains that stand out after pressure washing

What’s not included:
• Full pressure washing of the surrounding area (can be added separately)
• Guaranteed removal of deeply set-in stains — though we’ll do our best, and in many cases they can be fully removed

Just so you know:
This is a great add-on if you’re already getting your driveway or patio cleaned. Pricing depends on how many spots need attention and how deep the stains are.

Source metadata (preserved from HCP export):
- industry_uuid: ind_50413bdcbb67410da504845ec48af17d
- source_uuid: olit_f34595f5192e4e6492eaf4327962c69b",100.00,0.00,FALSE,,,TRUE
Window & Exterior Cleaning,Solar Panel Maintenance,,,Solar Panel Bird Proofing,"Birds love nesting under solar panels, but the droppings and debris they leave behind can cause serious problems — from chewed wires to lower energy output. Even worse, bird waste carries bacteria and parasites that can be harmful to your health. We’ll safely secure your system with protective barriers to keep birds and pests out for good.

What we do:
• Inspect panels and roof edges for nesting activity or damage
• Clean out droppings and debris around the perimeter
• Install a protective mesh barrier around your solar array
• Secure everything without drilling into or damaging your panels

Why it’s worth it:
• Stops birds from nesting under your panels and making a mess
• Protects wiring, shingles, and panels from costly damage
• Helps maintain maximum energy production by keeping airflow clear
• Reduces exposure to bird waste, which can be unsafe for your health
• Long-term, low-maintenance solution

What’s not included:
• Full panel cleaning (available separately or bundled)
• Repairs to already damaged wiring or roofing materials
• Removal of active nests during restricted wildlife periods (we’ll advise if that applies)

Just so you know:
Pricing depends on system size, roof access, and layout. This service can be paired with solar panel cleaning for the best results.

Source metadata (preserved from HCP export):
- industry_uuid: ind_50413bdcbb67410da504845ec48af17d
- source_uuid: olit_491f107466274b8b87b14ec1cdf05a51",0.00,0.00,FALSE,Linear Ft.,,FALSE
